doc,metric,word,score
Copy of A. Priyadarsini et al. 2023.pdf,Count,ph,30.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,batch,27.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,patel,27.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,mode,25.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,batch mode,24.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,capsulatus,24.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,air,23.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,consortium,22.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,field soil,22.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,ph mm,21.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,energy,20.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,lee,20.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,sample,20.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,bacteria,19.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,formate,18.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,natural,18.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,type,18.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,μm,18.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,conversion,17.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,methane methanol,17.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,methanotrophic,17.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,smmo,17.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,dna,16.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,microbiol,16.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,strain,16.0
Copy of A. Priyadarsini et al. 2023.pdf,Count,technology,16.0
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,methanol,0.3260629683786622
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,sensor,0.22537265920656432
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,smmo,0.2211166819837099
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,growth,0.19991752737318752
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,smmo activity,0.16595928638400892
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,ammonium,0.1608585363309052
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,figure,0.15798014548799402
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,trichosporium,0.15671013784858198
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,biomass,0.1566794127776707
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,cell,0.1434321388437033
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,methane,0.13125749654034458
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,al,0.11949534210426961
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,effect,0.11743407202341086
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,nutrient,0.1169065205141689
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,et,0.10606889917120561
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,et al,0.1047262548778992
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,methanol concentration,0.09939994343520726
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,rate,0.0966703891180608
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,ccp,0.0953342396056026
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,activity,0.09464699199884423
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,feeding,0.09180726480817514
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,allylthiourea,0.0907945139100977
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,yield,0.09066109699443346
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,biomass yield,0.09042694978391382
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,growth rate,0.08892763925289589
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,fermentation,0.088504476799804
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,feed,0.08269543138419659
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,inhibitory,0.07608871656874783
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,concentration profile,0.07263561112807816
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,feed batch,0.07076891722219342
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,fed,0.07062097292936549
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,cultivation,0.0680408202407444
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,smmo production,0.06715601171034724
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,table,0.06552484061458447
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,batch,0.06484295146580285
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,copper,0.06436293806556903
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,nitrogen,0.06403453176275414
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,density,0.06372115496311768
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,shake flask,0.06355887563642894
Copy of Adegbola thesis High Density Cultures.pdf,TFIDF,park et,0.06314750947917354
Copy of Adegbola thesis High Density Cultures.pdf,Count,methanol,238.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,growth,143.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,cell,109.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,smmo,102.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,trichosporium,95.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,methane,92.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,biomass,91.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,al,89.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,effect,84.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,figure,84.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,et,79.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,et al,78.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,sensor,78.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,rate,72.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,activity,65.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,ammonium,65.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,yield,61.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,nutrient,58.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,methanol concentration,47.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,smmo activity,47.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,fermentation,46.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,table,45.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,density,42.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,feed,42.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,production,42.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,batch,41.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,growth rate,40.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,source,39.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,nitrogen,38.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,bioreactor,37.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,carbon,37.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,cultivation,37.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,min,37.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,grow,36.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,control,35.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,copper,35.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,methylosinus,34.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,methylosinus trichosporium,34.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,culture,32.0
Copy of Adegbola thesis High Density Cultures.pdf,Count,initial,31.0
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,al,0.27009203358576456
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,et,0.25677763756393107
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,et al,0.25677763756393107
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,methane,0.2344535098918097
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,methanotroph,0.1740932077717961
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,gene,0.1480256885969656
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,soil,0.14660648566507525
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,ne,0.13367301619861224
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,oxidation,0.12033131713331664
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,bacteria,0.11090862505758044
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,methanotrophic,0.10746494306900994
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,microbiology biotechnology,0.10504743576348434
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,doi,0.10102653824092005
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,le,0.08699006985793299
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,paddy,0.08598712006484234
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,anaerobic,0.0829177600205911
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,methane oxidation,0.0825937866117715
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,page,0.08186515380826323
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,type,0.08167335673244756
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,pathway,0.08153476237240996
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,mona,0.0771744100696734
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,microbiology,0.07558758566653563
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,carbon,0.0732789129844728
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,rice,0.07325479566983831
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,nov,0.07207999529565673
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,lee,0.07161670840498109
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,apply microbiology,0.07074320923053394
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,sludge,0.06855372237776718
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,microbiol,0.06802249544222397
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,methanogen,0.06683650809930612
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,phosphate,0.06662826470278617
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,copy,0.06502936499644268
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,methanotrophic bacteria,0.06049300267724239
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,glucose,0.05937402158644056
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,growth,0.05743482369053274
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,biotechnology,0.05731297564989689
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,marine,0.05720958664086076
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,cluster,0.05541575348067786
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,specie,0.0539291089334307
Copy of Ahmadi & Lackner 2024.pdf,TFIDF,nr,0.053514304201689455
Copy of Ahmadi & Lackner 2024.pdf,Count,al,142.0
Copy of Ahmadi & Lackner 2024.pdf,Count,et,135.0
Copy of Ahmadi & Lackner 2024.pdf,Count,et al,135.0
Copy of Ahmadi & Lackner 2024.pdf,Count,methane,116.0
Copy of Ahmadi & Lackner 2024.pdf,Count,methanotroph,81.0
Copy of Ahmadi & Lackner 2024.pdf,Count,oxidation,62.0
Copy of Ahmadi & Lackner 2024.pdf,Count,bacteria,56.0
Copy of Ahmadi & Lackner 2024.pdf,Count,methanotrophic,50.0
Copy of Ahmadi & Lackner 2024.pdf,Count,gene,47.0
Copy of Ahmadi & Lackner 2024.pdf,Count,soil,43.0
Copy of Ahmadi & Lackner 2024.pdf,Count,type,38.0
Copy of Ahmadi & Lackner 2024.pdf,Count,carbon,37.0
Copy of Ahmadi & Lackner 2024.pdf,Count,pathway,32.0
Copy of Ahmadi & Lackner 2024.pdf,Count,methane oxidation,31.0
Copy of Ahmadi & Lackner 2024.pdf,Count,microbiol,31.0
Copy of Ahmadi & Lackner 2024.pdf,Count,phosphate,31.0
Copy of Ahmadi & Lackner 2024.pdf,Count,lee,30.0
Copy of Ahmadi & Lackner 2024.pdf,Count,growth,29.0
Copy of Ahmadi & Lackner 2024.pdf,Count,doi,28.0
Copy of Ahmadi & Lackner 2024.pdf,Count,anaerobic,27.0
Copy of Ahmadi & Lackner 2024.pdf,Count,methanotrophic bacteria,27.0
Copy of Ahmadi & Lackner 2024.pdf,Count,utilize,25.0
Copy of Ahmadi & Lackner 2024.pdf,Count,microbiology,24.0
Copy of Ahmadi & Lackner 2024.pdf,Count,ne,24.0
Copy of Ahmadi & Lackner 2024.pdf,Count,production,24.0
Copy of Ahmadi & Lackner 2024.pdf,Count,biotechnology,22.0
Copy of Ahmadi & Lackner 2024.pdf,Count,source,22.0
Copy of Ahmadi & Lackner 2024.pdf,Count,methanol,21.0
Copy of Ahmadi & Lackner 2024.pdf,Count,microbiology biotechnology,21.0
Copy of Ahmadi & Lackner 2024.pdf,Count,cell,20.0
Copy of Ahmadi & Lackner 2024.pdf,Count,page,20.0
Copy of Ahmadi & Lackner 2024.pdf,Count,le,19.0
Copy of Ahmadi & Lackner 2024.pdf,Count,sludge,19.0
Copy of Ahmadi & Lackner 2024.pdf,Count,environ,18.0
Copy of Ahmadi & Lackner 2024.pdf,Count,enzyme,18.0
Copy of Ahmadi & Lackner 2024.pdf,Count,novel,18.0
Copy of Ahmadi & Lackner 2024.pdf,Count,paddy,18.0
Copy of Ahmadi & Lackner 2024.pdf,Count,reduce,18.0
Copy of Ahmadi & Lackner 2024.pdf,Count,specie,18.0
Copy of Ahmadi & Lackner 2024.pdf,Count,aerobic,17.0
Copy of Baldo et al. 2024.pdf,TFIDF,meoh,0.772824469459952
Copy of Baldo et al. 2024.pdf,TFIDF,meoh production,0.2530240842497081
Copy of Baldo et al. 2024.pdf,TFIDF,formate,0.21890766732488226
Copy of Baldo et al. 2024.pdf,TFIDF,rm,0.13554861656234363
Copy of Baldo et al. 2024.pdf,TFIDF,figure,0.11605373855674413
Copy of Baldo et al. 2024.pdf,TFIDF,al,0.11091321269239313
Copy of Baldo et al. 2024.pdf,TFIDF,production,0.10477415963723333
Copy of Baldo et al. 2024.pdf,TFIDF,trichosporium,0.1001492139283245
Copy of Baldo et al. 2024.pdf,TFIDF,et,0.0962138712512326
Copy of Baldo et al. 2024.pdf,TFIDF,et al,0.0962138712512326
Copy of Baldo et al. 2024.pdf,TFIDF,formate concentration,0.08914819260270793
Copy of Baldo et al. 2024.pdf,TFIDF,cell,0.08381932770978665
Copy of Baldo et al. 2024.pdf,TFIDF,dry biomass,0.07380184482554204
Copy of Baldo et al. 2024.pdf,TFIDF,reaction,0.07241869392180056
Copy of Baldo et al. 2024.pdf,TFIDF,methanol,0.0722677632221217
Copy of Baldo et al. 2024.pdf,TFIDF,mg,0.06925893622122249
Copy of Baldo et al. 2024.pdf,TFIDF,pen,0.06553454242826852
Copy of Baldo et al. 2024.pdf,TFIDF,pen et,0.0591522829377539
Copy of Baldo et al. 2024.pdf,TFIDF,bacterial,0.05910445412163413
Copy of Baldo et al. 2024.pdf,TFIDF,nmr,0.05369856047221152
Copy of Baldo et al. 2024.pdf,TFIDF,circle,0.046956477933759525
Copy of Baldo et al. 2024.pdf,TFIDF,biomass,0.04455414494031492
Copy of Baldo et al. 2024.pdf,TFIDF,assay,0.04315146605026799
Copy of Baldo et al. 2024.pdf,TFIDF,ﬁlle,0.04066719451970581
Copy of Baldo et al. 2024.pdf,TFIDF,label,0.04027392035415864
Copy of Baldo et al. 2024.pdf,TFIDF,nms,0.03919281385340215
Copy of Baldo et al. 2024.pdf,TFIDF,dry,0.03777760157521227
Copy of Baldo et al. 2024.pdf,TFIDF,mdh,0.03743668985701423
Copy of Baldo et al. 2024.pdf,TFIDF,bacterial suspension,0.036146297749958305
Copy of Baldo et al. 2024.pdf,TFIDF,ruiz,0.036146297749958305
Copy of Baldo et al. 2024.pdf,TFIDF,methylosinus trichosporium,0.036119388629887526
Copy of Baldo et al. 2024.pdf,TFIDF,methane,0.03549935976558851
Copy of Baldo et al. 2024.pdf,TFIDF,methylosinus,0.035363784632343576
Copy of Baldo et al. 2024.pdf,TFIDF,ph,0.03478154933778689
Copy of Baldo et al. 2024.pdf,TFIDF,bacterial cell,0.0335616002951322
Copy of Baldo et al. 2024.pdf,TFIDF,external electron,0.03341943651718711
Copy of Baldo et al. 2024.pdf,TFIDF,produce,0.03339414268348661
Copy of Baldo et al. 2024.pdf,TFIDF,electron donor,0.03295357642691466
Copy of Baldo et al. 2024.pdf,TFIDF,suspension,0.031787010605601386
Copy of Baldo et al. 2024.pdf,TFIDF,stop,0.03163322963321895
Copy of Baldo et al. 2024.pdf,Count,meoh,185.0
Copy of Baldo et al. 2024.pdf,Count,formate,142.0
Copy of Baldo et al. 2024.pdf,Count,al,83.0
Copy of Baldo et al. 2024.pdf,Count,production,80.0
Copy of Baldo et al. 2024.pdf,Count,et,72.0
Copy of Baldo et al. 2024.pdf,Count,et al,72.0
Copy of Baldo et al. 2024.pdf,Count,cell,64.0
Copy of Baldo et al. 2024.pdf,Count,figure,62.0
Copy of Baldo et al. 2024.pdf,Count,trichosporium,61.0
Copy of Baldo et al. 2024.pdf,Count,meoh production,56.0
Copy of Baldo et al. 2024.pdf,Count,methanol,53.0
Copy of Baldo et al. 2024.pdf,Count,reaction,51.0
Copy of Baldo et al. 2024.pdf,Count,mg,44.0
Copy of Baldo et al. 2024.pdf,Count,bacterial,36.0
Copy of Baldo et al. 2024.pdf,Count,formate concentration,31.0
Copy of Baldo et al. 2024.pdf,Count,rm,30.0
Copy of Baldo et al. 2024.pdf,Count,biomass,26.0
Copy of Baldo et al. 2024.pdf,Count,methane,25.0
Copy of Baldo et al. 2024.pdf,Count,dry,24.0
Copy of Baldo et al. 2024.pdf,Count,ph,24.0
Copy of Baldo et al. 2024.pdf,Count,produce,24.0
Copy of Baldo et al. 2024.pdf,Count,methylosinus,22.0
Copy of Baldo et al. 2024.pdf,Count,methylosinus trichosporium,22.0
Copy of Baldo et al. 2024.pdf,Count,pen,22.0
Copy of Baldo et al. 2024.pdf,Count,dry biomass,21.0
Copy of Baldo et al. 2024.pdf,Count,initial,21.0
Copy of Baldo et al. 2024.pdf,Count,assay,20.0
Copy of Baldo et al. 2024.pdf,Count,mdh,20.0
Copy of Baldo et al. 2024.pdf,Count,nms,20.0
Copy of Baldo et al. 2024.pdf,Count,nadh,17.0
Copy of Baldo et al. 2024.pdf,Count,oxidation,17.0
Copy of Baldo et al. 2024.pdf,Count,nm,16.0
Copy of Baldo et al. 2024.pdf,Count,nmr,16.0
Copy of Baldo et al. 2024.pdf,Count,pen et,16.0
Copy of Baldo et al. 2024.pdf,Count,bacteria,15.0
Copy of Baldo et al. 2024.pdf,Count,kinetic,15.0
Copy of Baldo et al. 2024.pdf,Count,methanol production,15.0
Copy of Baldo et al. 2024.pdf,Count,observe,15.0
Copy of Baldo et al. 2024.pdf,Count,accumulation,14.0
Copy of Baldo et al. 2024.pdf,Count,biotechnology,14.0
Copy of Bjorck et al. 2018.pdf,TFIDF,methane,0.34207642720548953
Copy of Bjorck et al. 2018.pdf,TFIDF,methanol,0.3413916178808268
Copy of Bjorck et al. 2018.pdf,TFIDF,aims bioengineering,0.18061947877718532
Copy of Bjorck et al. 2018.pdf,TFIDF,cell,0.17221911991024286
Copy of Bjorck et al. 2018.pdf,TFIDF,methanotroph,0.16996891497940772
Copy of Bjorck et al. 2018.pdf,TFIDF,aims,0.14418486782748433
Copy of Bjorck et al. 2018.pdf,TFIDF,utilise,0.13308803699371552
Copy of Bjorck et al. 2018.pdf,TFIDF,oxidation,0.1305320891897279
Copy of Bjorck et al. 2018.pdf,TFIDF,issue,0.1274890240629061
Copy of Bjorck et al. 2018.pdf,TFIDF,trichosporium,0.12089905415682084
Copy of Bjorck et al. 2018.pdf,TFIDF,al,0.11105533779243436
Copy of Bjorck et al. 2018.pdf,TFIDF,et,0.10543228271433641
Copy of Bjorck et al. 2018.pdf,TFIDF,et al,0.10543228271433641
Copy of Bjorck et al. 2018.pdf,TFIDF,bioengineering,0.09564566707449436
Copy of Bjorck et al. 2018.pdf,TFIDF,reaction,0.09410836206963251
Copy of Bjorck et al. 2018.pdf,TFIDF,mmo,0.09326498463526178
Copy of Bjorck et al. 2018.pdf,TFIDF,bacteria,0.08489736355226943
Copy of Bjorck et al. 2018.pdf,TFIDF,volume,0.08433019911549657
Copy of Bjorck et al. 2018.pdf,TFIDF,methylosinus,0.0828589240556151
Copy of Bjorck et al. 2018.pdf,TFIDF,production,0.08266517755691659
Copy of Bjorck et al. 2018.pdf,TFIDF,methylosinus trichosporium,0.07944794987448227
Copy of Bjorck et al. 2018.pdf,TFIDF,mm,0.07465113002009896
Copy of Bjorck et al. 2018.pdf,TFIDF,energy,0.07318738237264605
Copy of Bjorck et al. 2018.pdf,TFIDF,natural,0.07210774430211134
Copy of Bjorck et al. 2018.pdf,TFIDF,activity,0.07165437186165766
Copy of Bjorck et al. 2018.pdf,TFIDF,enzyme,0.0686052496547786
Copy of Bjorck et al. 2018.pdf,TFIDF,methanol synthesis,0.06830203888670588
Copy of Bjorck et al. 2018.pdf,TFIDF,formate,0.06811285313174723
Copy of Bjorck et al. 2018.pdf,TFIDF,growth,0.06733239178283436
Copy of Bjorck et al. 2018.pdf,TFIDF,mdh,0.066950452443747
Copy of Bjorck et al. 2018.pdf,TFIDF,fuel,0.06669966347945298
Copy of Bjorck et al. 2018.pdf,TFIDF,methane methanol,0.06594893955446916
Copy of Bjorck et al. 2018.pdf,TFIDF,carbon,0.06440489648792852
Copy of Bjorck et al. 2018.pdf,TFIDF,sodium,0.0630121905352913
Copy of Bjorck et al. 2018.pdf,TFIDF,oxidise,0.06284981418121112
Copy of Bjorck et al. 2018.pdf,TFIDF,produce,0.06147740119302268
Copy of Bjorck et al. 2018.pdf,TFIDF,attribute,0.061434654110562786
Copy of Bjorck et al. 2018.pdf,TFIDF,exploit,0.06002037928773494
Copy of Bjorck et al. 2018.pdf,TFIDF,conversion,0.05945788303414146
Copy of Bjorck et al. 2018.pdf,TFIDF,potential,0.05913248184856898
Copy of Bjorck et al. 2018.pdf,Count,methanol,238.0
Copy of Bjorck et al. 2018.pdf,Count,methane,229.0
Copy of Bjorck et al. 2018.pdf,Count,cell,125.0
Copy of Bjorck et al. 2018.pdf,Count,methanotroph,107.0
Copy of Bjorck et al. 2018.pdf,Count,oxidation,91.0
Copy of Bjorck et al. 2018.pdf,Count,al,79.0
Copy of Bjorck et al. 2018.pdf,Count,et,75.0
Copy of Bjorck et al. 2018.pdf,Count,et al,75.0
Copy of Bjorck et al. 2018.pdf,Count,trichosporium,70.0
Copy of Bjorck et al. 2018.pdf,Count,reaction,63.0
Copy of Bjorck et al. 2018.pdf,Count,production,60.0
Copy of Bjorck et al. 2018.pdf,Count,bacteria,58.0
Copy of Bjorck et al. 2018.pdf,Count,mmo,54.0
