doc,word,score
Copy of Adegbola thesis High Density Cultures.pdf,methane,0.13125749654034458
Copy of Adegbola thesis High Density Cultures.pdf,al,0.11949534210426961
Copy of Adegbola thesis High Density Cultures.pdf,effect,0.11743407202341086
Copy of Adegbola thesis High Density Cultures.pdf,nutrient,0.1169065205141689
Copy of Adegbola thesis High Density Cultures.pdf,et,0.10606889917120561
Copy of Adegbola thesis High Density Cultures.pdf,et al,0.1047262548778992
Copy of Adegbola thesis High Density Cultures.pdf,methanol concentration,0.09939994343520726
Copy of Adegbola thesis High Density Cultures.pdf,rate,0.0966703891180608
Copy of Adegbola thesis High Density Cultures.pdf,ccp,0.0953342396056026
Copy of Adegbola thesis High Density Cultures.pdf,activity,0.09464699199884423
Copy of Adegbola thesis High Density Cultures.pdf,feeding,0.09180726480817514
Copy of Adegbola thesis High Density Cultures.pdf,allylthiourea,0.0907945139100977
Copy of Adegbola thesis High Density Cultures.pdf,yield,0.09066109699443346
Copy of Adegbola thesis High Density Cultures.pdf,biomass yield,0.09042694978391382
Copy of Adegbola thesis High Density Cultures.pdf,growth rate,0.08892763925289589
Copy of Adegbola thesis High Density Cultures.pdf,fermentation,0.088504476799804
Copy of Adegbola thesis High Density Cultures.pdf,feed,0.08269543138419659
Copy of Adegbola thesis High Density Cultures.pdf,inhibitory,0.07608871656874783
Copy of Adegbola thesis High Density Cultures.pdf,concentration profile,0.07263561112807816
Copy of Adegbola thesis High Density Cultures.pdf,feed batch,0.07076891722219342
Copy of Adegbola thesis High Density Cultures.pdf,fed,0.07062097292936549
Copy of Adegbola thesis High Density Cultures.pdf,cultivation,0.0680408202407444
Copy of Adegbola thesis High Density Cultures.pdf,smmo production,0.06715601171034724
Copy of Adegbola thesis High Density Cultures.pdf,table,0.06552484061458447
Copy of Adegbola thesis High Density Cultures.pdf,batch,0.06484295146580285
Copy of Adegbola thesis High Density Cultures.pdf,copper,0.06436293806556903
Copy of Adegbola thesis High Density Cultures.pdf,nitrogen,0.06403453176275414
Copy of Adegbola thesis High Density Cultures.pdf,density,0.06372115496311768
Copy of Adegbola thesis High Density Cultures.pdf,shake flask,0.06355887563642894
Copy of Adegbola thesis High Density Cultures.pdf,park et,0.06314750947917354
Copy of Ahmadi & Lackner 2024.pdf,al,0.27009203358576456
Copy of Ahmadi & Lackner 2024.pdf,et,0.25677763756393107
Copy of Ahmadi & Lackner 2024.pdf,et al,0.25677763756393107
Copy of Ahmadi & Lackner 2024.pdf,methane,0.2344535098918097
Copy of Ahmadi & Lackner 2024.pdf,methanotroph,0.1740932077717961
Copy of Ahmadi & Lackner 2024.pdf,gene,0.1480256885969656
Copy of Ahmadi & Lackner 2024.pdf,soil,0.14660648566507525
Copy of Ahmadi & Lackner 2024.pdf,ne,0.13367301619861224
Copy of Ahmadi & Lackner 2024.pdf,oxidation,0.12033131713331664
Copy of Ahmadi & Lackner 2024.pdf,bacteria,0.11090862505758044
Copy of Ahmadi & Lackner 2024.pdf,methanotrophic,0.10746494306900994
Copy of Ahmadi & Lackner 2024.pdf,microbiology biotechnology,0.10504743576348434
Copy of Ahmadi & Lackner 2024.pdf,doi,0.10102653824092005
Copy of Ahmadi & Lackner 2024.pdf,le,0.08699006985793299
Copy of Ahmadi & Lackner 2024.pdf,paddy,0.08598712006484234
Copy of Ahmadi & Lackner 2024.pdf,anaerobic,0.0829177600205911
Copy of Ahmadi & Lackner 2024.pdf,methane oxidation,0.0825937866117715
Copy of Ahmadi & Lackner 2024.pdf,page,0.08186515380826323
Copy of Ahmadi & Lackner 2024.pdf,type,0.08167335673244756
Copy of Ahmadi & Lackner 2024.pdf,pathway,0.08153476237240996
Copy of Ahmadi & Lackner 2024.pdf,mona,0.0771744100696734
Copy of Ahmadi & Lackner 2024.pdf,microbiology,0.07558758566653563
Copy of Ahmadi & Lackner 2024.pdf,carbon,0.0732789129844728
Copy of Ahmadi & Lackner 2024.pdf,rice,0.07325479566983831
Copy of Ahmadi & Lackner 2024.pdf,nov,0.07207999529565673
Copy of Ahmadi & Lackner 2024.pdf,lee,0.07161670840498109
Copy of Ahmadi & Lackner 2024.pdf,apply microbiology,0.07074320923053394
Copy of Ahmadi & Lackner 2024.pdf,sludge,0.06855372237776718
Copy of Ahmadi & Lackner 2024.pdf,microbiol,0.06802249544222397
Copy of Ahmadi & Lackner 2024.pdf,methanogen,0.06683650809930612
Copy of Ahmadi & Lackner 2024.pdf,phosphate,0.06662826470278617
Copy of Ahmadi & Lackner 2024.pdf,copy,0.06502936499644268
Copy of Ahmadi & Lackner 2024.pdf,methanotrophic bacteria,0.06049300267724239
Copy of Ahmadi & Lackner 2024.pdf,glucose,0.05937402158644056
Copy of Ahmadi & Lackner 2024.pdf,growth,0.05743482369053274
Copy of Ahmadi & Lackner 2024.pdf,biotechnology,0.05731297564989689
Copy of Ahmadi & Lackner 2024.pdf,marine,0.05720958664086076
Copy of Ahmadi & Lackner 2024.pdf,cluster,0.05541575348067786
Copy of Ahmadi & Lackner 2024.pdf,specie,0.0539291089334307
Copy of Ahmadi & Lackner 2024.pdf,nr,0.053514304201689455
Copy of Baldo et al. 2024.pdf,meoh,0.772824469459952
Copy of Baldo et al. 2024.pdf,meoh production,0.2530240842497081
Copy of Baldo et al. 2024.pdf,formate,0.21890766732488226
Copy of Baldo et al. 2024.pdf,rm,0.13554861656234363
Copy of Baldo et al. 2024.pdf,figure,0.11605373855674413
Copy of Baldo et al. 2024.pdf,al,0.11091321269239313
Copy of Baldo et al. 2024.pdf,production,0.10477415963723333
Copy of Baldo et al. 2024.pdf,trichosporium,0.1001492139283245
Copy of Baldo et al. 2024.pdf,et,0.0962138712512326
Copy of Baldo et al. 2024.pdf,et al,0.0962138712512326
Copy of Baldo et al. 2024.pdf,formate concentration,0.08914819260270793
Copy of Baldo et al. 2024.pdf,cell,0.08381932770978665
Copy of Baldo et al. 2024.pdf,dry biomass,0.07380184482554204
Copy of Baldo et al. 2024.pdf,reaction,0.07241869392180056
Copy of Baldo et al. 2024.pdf,methanol,0.0722677632221217
Copy of Baldo et al. 2024.pdf,mg,0.06925893622122249
Copy of Baldo et al. 2024.pdf,pen,0.06553454242826852
Copy of Baldo et al. 2024.pdf,pen et,0.0591522829377539
Copy of Baldo et al. 2024.pdf,bacterial,0.05910445412163413
Copy of Baldo et al. 2024.pdf,nmr,0.05369856047221152
Copy of Baldo et al. 2024.pdf,circle,0.046956477933759525
Copy of Baldo et al. 2024.pdf,biomass,0.04455414494031492
Copy of Baldo et al. 2024.pdf,assay,0.04315146605026799
Copy of Baldo et al. 2024.pdf,ﬁlle,0.04066719451970581
Copy of Baldo et al. 2024.pdf,label,0.04027392035415864
Copy of Baldo et al. 2024.pdf,nms,0.03919281385340215
Copy of Baldo et al. 2024.pdf,dry,0.03777760157521227
Copy of Baldo et al. 2024.pdf,mdh,0.03743668985701423
Copy of Baldo et al. 2024.pdf,bacterial suspension,0.036146297749958305
Copy of Baldo et al. 2024.pdf,ruiz,0.036146297749958305
Copy of Baldo et al. 2024.pdf,methylosinus trichosporium,0.036119388629887526
Copy of Baldo et al. 2024.pdf,methane,0.03549935976558851
Copy of Baldo et al. 2024.pdf,methylosinus,0.035363784632343576
Copy of Baldo et al. 2024.pdf,ph,0.03478154933778689
Copy of Baldo et al. 2024.pdf,bacterial cell,0.0335616002951322
Copy of Baldo et al. 2024.pdf,external electron,0.03341943651718711
Copy of Baldo et al. 2024.pdf,produce,0.03339414268348661
Copy of Baldo et al. 2024.pdf,electron donor,0.03295357642691466
Copy of Baldo et al. 2024.pdf,suspension,0.031787010605601386
Copy of Baldo et al. 2024.pdf,stop,0.03163322963321895
Copy of Bjorck et al. 2018.pdf,methane,0.34207642720548953
Copy of Bjorck et al. 2018.pdf,methanol,0.3413916178808268
Copy of Bjorck et al. 2018.pdf,aims bioengineering,0.18061947877718532
Copy of Bjorck et al. 2018.pdf,cell,0.17221911991024286
Copy of Bjorck et al. 2018.pdf,methanotroph,0.16996891497940772
Copy of Bjorck et al. 2018.pdf,aims,0.14418486782748433
Copy of Bjorck et al. 2018.pdf,utilise,0.13308803699371552
Copy of Bjorck et al. 2018.pdf,oxidation,0.1305320891897279
Copy of Bjorck et al. 2018.pdf,issue,0.1274890240629061
Copy of Bjorck et al. 2018.pdf,trichosporium,0.12089905415682084
Copy of Bjorck et al. 2018.pdf,al,0.11105533779243436
Copy of Bjorck et al. 2018.pdf,et,0.10543228271433641
Copy of Bjorck et al. 2018.pdf,et al,0.10543228271433641
Copy of Bjorck et al. 2018.pdf,bioengineering,0.09564566707449436
Copy of Bjorck et al. 2018.pdf,reaction,0.09410836206963251
Copy of Bjorck et al. 2018.pdf,mmo,0.09326498463526178
Copy of Bjorck et al. 2018.pdf,bacteria,0.08489736355226943
Copy of Bjorck et al. 2018.pdf,volume,0.08433019911549657
Copy of Bjorck et al. 2018.pdf,methylosinus,0.0828589240556151
Copy of Bjorck et al. 2018.pdf,production,0.08266517755691659
Copy of Bjorck et al. 2018.pdf,methylosinus trichosporium,0.07944794987448227
Copy of Bjorck et al. 2018.pdf,mm,0.07465113002009896
Copy of Bjorck et al. 2018.pdf,energy,0.07318738237264605
Copy of Bjorck et al. 2018.pdf,natural,0.07210774430211134
Copy of Bjorck et al. 2018.pdf,activity,0.07165437186165766
Copy of Bjorck et al. 2018.pdf,enzyme,0.0686052496547786
Copy of Bjorck et al. 2018.pdf,methanol synthesis,0.06830203888670588
Copy of Bjorck et al. 2018.pdf,formate,0.06811285313174723
Copy of Bjorck et al. 2018.pdf,growth,0.06733239178283436
Copy of Bjorck et al. 2018.pdf,mdh,0.066950452443747
Copy of Bjorck et al. 2018.pdf,fuel,0.06669966347945298
Copy of Bjorck et al. 2018.pdf,methane methanol,0.06594893955446916
Copy of Bjorck et al. 2018.pdf,carbon,0.06440489648792852
Copy of Bjorck et al. 2018.pdf,sodium,0.0630121905352913
Copy of Bjorck et al. 2018.pdf,oxidise,0.06284981418121112
Copy of Bjorck et al. 2018.pdf,produce,0.06147740119302268
Copy of Bjorck et al. 2018.pdf,attribute,0.061434654110562786
Copy of Bjorck et al. 2018.pdf,exploit,0.06002037928773494
Copy of Bjorck et al. 2018.pdf,conversion,0.05945788303414146
Copy of Bjorck et al. 2018.pdf,potential,0.05913248184856898
Copy of Blanchette et al. 2016.pdf,pmmo,0.39733871486751043
Copy of Blanchette et al. 2016.pdf,peg,0.34576099446587844
Copy of Blanchette et al. 2016.pdf,hydrogel,0.3439340749085405
Copy of Blanchette et al. 2016.pdf,lattice,0.20338882027404614
Copy of Blanchette et al. 2016.pdf,activity,0.15874224935435832
Copy of Blanchette et al. 2016.pdf,membrane,0.14879751473363448
Copy of Blanchette et al. 2016.pdf,printing,0.14237217419183232
Copy of Blanchette et al. 2016.pdf,print,0.137104989261141
Copy of Blanchette et al. 2016.pdf,material,0.12914732480860128
Copy of Blanchette et al. 2016.pdf,enzyme,0.1282985303000978
Copy of Blanchette et al. 2016.pdf,methane,0.1278391134278144
Copy of Blanchette et al. 2016.pdf,meoh,0.11909532798719909
Copy of Blanchette et al. 2016.pdf,nmol,0.1020614863017236
Copy of Blanchette et al. 2016.pdf,thick,0.10029080251553608
Copy of Blanchette et al. 2016.pdf,methanol,0.09411493852037535
Copy of Blanchette et al. 2016.pdf,surface area,0.08939424774615479
Copy of Blanchette et al. 2016.pdf,thin,0.08687650356852927
Copy of Blanchette et al. 2016.pdf,polymer,0.08620275619750488
Copy of Blanchette et al. 2016.pdf,ﬂow,0.0808193052823083
Copy of Blanchette et al. 2016.pdf,mg,0.07794155533666568
Copy of Blanchette et al. 2016.pdf,surface,0.0758011389837539
Copy of Blanchette et al. 2016.pdf,cylinder,0.07457590076715026
Copy of Blanchette et al. 2016.pdf,membrane bind,0.07335534399885303
Copy of Blanchette et al. 2016.pdf,doi,0.07226779294960953
Copy of Blanchette et al. 2016.pdf,activity assay,0.0704575442625713
Copy of Blanchette et al. 2016.pdf,area volume,0.06894992672943105
Copy of Blanchette et al. 2016.pdf,mm,0.06889774128999496
Copy of Blanchette et al. 2016.pdf,nadh,0.06832042219178455
Copy of Blanchette et al. 2016.pdf,permeability,0.06656788546616912
Copy of Blanchette et al. 2016.pdf,area,0.06321298496654885
Copy of Blanchette et al. 2016.pdf,fig,0.06306500510010882
Copy of Blanchette et al. 2016.pdf,min,0.061788904823443624
Copy of Blanchette et al. 2016.pdf,activity nmol,0.0610205616773217
Copy of Blanchette et al. 2016.pdf,embed,0.0610205616773217
Copy of Blanchette et al. 2016.pdf,min mg,0.0610205616773217
Copy of Blanchette et al. 2016.pdf,fraction,0.06085708879967118
Copy of Blanchette et al. 2016.pdf,bind,0.05976205012335307
Copy of Blanchette et al. 2016.pdf,communication,0.05641357641498904
Copy of Blanchette et al. 2016.pdf,structure,0.05548890026890568
Copy of Blanchette et al. 2016.pdf,cross,0.055473237888474275
Copy of Burrows et al 1984.pdf,mmo,0.24350008037786677
Copy of Burrows et al 1984.pdf,copper medium,0.21403334877643101
Copy of Burrows et al 1984.pdf,soluble,0.1992273384909819
Copy of Burrows et al 1984.pdf,particulate mmo,0.19386953430341342
Copy of Burrows et al 1984.pdf,particulate,0.18594551592491643
Copy of Burrows et al 1984.pdf,wt,0.1821527974286692
Copy of Burrows et al 1984.pdf,trichosporium,0.14610004822672007
Copy of Burrows et al 1984.pdf,copper,0.14312936560376527
Copy of Burrows et al 1984.pdf,organism,0.14065235925961525
Copy of Burrows et al 1984.pdf,soluble particulate,0.13958606469845766
Copy of Burrows et al 1984.pdf,aromatic alicyclic,0.12184074456058365
Copy of Burrows et al 1984.pdf,methane,0.11870278686746484
Copy of Burrows et al 1984.pdf,oxidize,0.11552433669034065
Copy of Burrows et al 1984.pdf,dry wt,0.11264913093496369
Copy of Burrows et al 1984.pdf,suspension,0.11020793521449923
Copy of Burrows et al 1984.pdf,alicyclic,0.10966370705507197
Copy of Burrows et al 1984.pdf,methane mono,0.10856693920991152
Copy of Burrows et al 1984.pdf,mono,0.10498656212663089
Copy of Burrows et al 1984.pdf,soluble mmo,0.10408731281638241
Copy of Burrows et al 1984.pdf,scott,0.10081215783777497
Copy of Burrows et al 1984.pdf,al,0.09729436019753783
Copy of Burrows et al 1984.pdf,high copper,0.09541337008168388
Copy of Burrows et al 1984.pdf,polypeptide,0.09496760536254607
Copy of Burrows et al 1984.pdf,dalton,0.09429822298904605
Copy of Burrows et al 1984.pdf,et,0.0936908653754068
Copy of Burrows et al 1984.pdf,mono oxygenase,0.09305737646563844
Copy of Burrows et al 1984.pdf,aromatic,0.08998848182282648
Copy of Burrows et al 1984.pdf,et al,0.08648387573114474
Copy of Burrows et al 1984.pdf,organism grow,0.08529216576503736
Copy of Burrows et al 1984.pdf,substrate,0.08376707704138991
Copy of Burrows et al 1984.pdf,oxygenase,0.08145397909728723
Copy of Burrows et al 1984.pdf,ml,0.08041156529731489
Copy of Burrows et al 1984.pdf,grow,0.07898505761870657
Copy of Burrows et al 1984.pdf,scott et,0.07885439165447458
Copy of Burrows et al 1984.pdf,stanley et,0.07885439165447458
Copy of Burrows et al 1984.pdf,cell free,0.07754781372136536
Copy of Burrows et al 1984.pdf,colby,0.075815258457811
Copy of Burrows et al 1984.pdf,low copper,0.075815258457811
Copy of Burrows et al 1984.pdf,cell,0.07416554688216123
Copy of Burrows et al 1984.pdf,higgins,0.07262260765265459
Copy of Bursova et al 2015.pdf,formic,0.30558038989685193
Copy of Bursova et al 2015.pdf,formic acid,0.30558038989685193
Copy of Bursova et al 2015.pdf,serum,0.24750046291404676
Copy of Bursova et al 2015.pdf,ethanol formic,0.23357117612647157
Copy of Bursova et al 2015.pdf,acid,0.21246818401876424
Copy of Bursova et al 2015.pdf,methanol ethanol,0.201733506127352
Copy of Bursova et al 2015.pdf,methanol,0.18405156264702677
Copy of Bursova et al 2015.pdf,urine,0.15596437029380533
Copy of Bursova et al 2015.pdf,ethanol,0.15195434438298291
Copy of Bursova et al 2015.pdf,clinical,0.14273794096617706
Copy of Bursova et al 2015.pdf,headspace,0.13507052834042926
Copy of Bursova et al 2015.pdf,sample,0.12142539086471693
Copy of Bursova et al 2015.pdf,injection,0.10161631320249943
Copy of Bursova et al 2015.pdf,poisoning,0.10114156875865732
Copy of Bursova et al 2015.pdf,method,0.09779360476338242
Copy of Bursova et al 2015.pdf,gc,0.09672202762672262
Copy of Bursova et al 2015.pdf,toxicology,0.09597807402695713
Copy of Bursova et al 2015.pdf,analyte,0.09555797658664042
Copy of Bursova et al 2015.pdf,precision,0.09555797658664042
Copy of Bursova et al 2015.pdf,rtx,0.0908332351602945
Copy of Bursova et al 2015.pdf,isopropanol,0.08398081477358749
Copy of Bursova et al 2015.pdf,rsd,0.08398081477358749
Copy of Bursova et al 2015.pdf,serum urine,0.08398081477358749
Copy of Bursova et al 2015.pdf,accuracy,0.08314061989295407
Copy of Bursova et al 2015.pdf,min,0.08156116403073371
Copy of Bursova et al 2015.pdf,new method,0.0786656645900668
Copy of Bursova et al 2015.pdf,medicine,0.07785705870882387
Copy of Bursova et al 2015.pdf,sulfuric,0.07198355552021785
Copy of Bursova et al 2015.pdf,sulfuric acid,0.07198355552021785
Copy of Bursova et al 2015.pdf,blood,0.07065109074424412
Copy of Bursova et al 2015.pdf,republic,0.07065109074424412
Copy of Bursova et al 2015.pdf,human,0.0674966005883756
Copy of Bursova et al 2015.pdf,derivatization,0.06742771250577154
Copy of Bursova et al 2015.pdf,determination methanol,0.06742771250577154
Copy of Bursova et al 2015.pdf,gc fid,0.06742771250577154
Copy of Bursova et al 2015.pdf,supplementary datum,0.06742771250577154
Copy of Bursova et al 2015.pdf,determination,0.06695244599710805
Copy of Bursova et al 2015.pdf,analytical toxicology,0.06488088225735321
Copy of Bursova et al 2015.pdf,download guest,0.06488088225735321
Copy of Bursova et al 2015.pdf,guest,0.06488088225735321
Copy of Cantera et al. 2016.pdf,community,0.20963909466973926
Copy of Cantera et al. 2016.pdf,methylomonas,0.193145315135818
Copy of Cantera et al. 2016.pdf,al,0.19063707456652004
Copy of Cantera et al. 2016.pdf,et,0.1878742184133821
Copy of Cantera et al. 2016.pdf,et al,0.1878742184133821
Copy of Cantera et al. 2016.pdf,enrich,0.1862125527312306
Copy of Cantera et al. 2016.pdf,band,0.16989736542173925
Copy of Cantera et al. 2016.pdf,sediment,0.15961075948391193
Copy of Cantera et al. 2016.pdf,enrichment,0.15667080826490448
Copy of Cantera et al. 2016.pdf,rpm,0.14845066374547264
Copy of Cantera et al. 2016.pdf,culture enrich,0.12955479052079752
Copy of Cantera et al. 2016.pdf,marine sediment,0.12144237959441803
Copy of Cantera et al. 2016.pdf,ks,0.11465575759912124
Copy of Cantera et al. 2016.pdf,biodegradation kinetic,0.11210065808715512
Copy of Cantera et al. 2016.pdf,uncultured,0.11210065808715512
Copy of Cantera et al. 2016.pdf,journal environmental,0.10275893657989218
Copy of Cantera et al. 2016.pdf,biodegradation,0.10258247323977022
Copy of Cantera et al. 2016.pdf,environmental,0.09723906455141883
Copy of Cantera et al. 2016.pdf,environmental management,0.09500684638191817
Copy of Cantera et al. 2016.pdf,pcr,0.09172460607929699
Copy of Cantera et al. 2016.pdf,sequence,0.08921720974252297
Copy of Cantera et al. 2016.pdf,abatement,0.08719312653599204
Copy of Cantera et al. 2016.pdf,diversity,0.0862444803544594
Copy of Cantera et al. 2016.pdf,methylomonas methanica,0.08622410749560055
Copy of Cantera et al. 2016.pdf,kinetic,0.08512468371378326
Copy of Cantera et al. 2016.pdf,methanica,0.08323997975001203
Copy of Cantera et al. 2016.pdf,marine,0.08310050320494468
Copy of Cantera et al. 2016.pdf,culture,0.08175603532349734
Copy of Cantera et al. 2016.pdf,rate,0.08012282844100119
Copy of Cantera et al. 2016.pdf,genus,0.07795325361615624
Copy of Cantera et al. 2016.pdf,estrada,0.07773287431247851
Copy of Cantera et al. 2016.pdf,mb,0.07773287431247851
Copy of Cantera et al. 2016.pdf,microbial,0.07628701576498338
Copy of Cantera et al. 2016.pdf,dna,0.07474521630719815
Copy of Cantera et al. 2016.pdf,lake sediment,0.0747337720581034
Copy of Cantera et al. 2016.pdf,soil,0.07428665966762231
Copy of Cantera et al. 2016.pdf,inﬂuence,0.0739063778533719
Copy of Cantera et al. 2016.pdf,population,0.0739063778533719
Copy of Cantera et al. 2016.pdf,similarity,0.0731549314301263
Copy of Cantera et al. 2016.pdf,landﬁll,0.07281315660931684
Copy of Chen et al. 2021.pdf,phase reaction,0.5890610639769036
Copy of Chen et al. 2021.pdf,gas phase,0.2763972977849477
Copy of Chen et al. 2021.pdf,phase,0.2562566195079236
Copy of Chen et al. 2021.pdf,reaction,0.22967836151251927
Copy of Chen et al. 2021.pdf,cell,0.1677924370196572
Copy of Chen et al. 2021.pdf,aqueous phase,0.13805967885621712
Copy of Chen et al. 2021.pdf,bath,0.1348974303945917
Copy of Chen et al. 2021.pdf,capsulatus bath,0.13465509379266682
Copy of Chen et al. 2021.pdf,capsulatus,0.1318086570492959
Copy of Chen et al. 2021.pdf,aqueous,0.13111153869285982
Copy of Chen et al. 2021.pdf,microbial gas,0.1184130913548612
Copy of Chen et al. 2021.pdf,cell gas,0.11279892714451346
Copy of Chen et al. 2021.pdf,al,0.10272227419582704
Copy of Chen et al. 2021.pdf,et,0.09844217943766757
Copy of Chen et al. 2021.pdf,et al,0.09844217943766757
Copy of Chen et al. 2021.pdf,bath cell,0.09366026178402466
Copy of Chen et al. 2021.pdf,metabolic,0.08507356941941559
Copy of Chen et al. 2021.pdf,metabolite,0.07389260806315937
Copy of Chen et al. 2021.pdf,chen et,0.07316602670294066
Copy of Chen et al. 2021.pdf,filter,0.07109410647380326
Copy of Chen et al. 2021.pdf,microbial,0.0698339178489478
Copy of Chen et al. 2021.pdf,kg,0.062016769329923276
Copy of Chen et al. 2021.pdf,chen,0.057828997614646466
Copy of Chen et al. 2021.pdf,chamber,0.051755030771074406
Copy of Chen et al. 2021.pdf,asp,0.050651238659324783
Copy of Chen et al. 2021.pdf,cell catalyze,0.050651238659324783
Copy of Chen et al. 2021.pdf,ketoglutarate,0.050651238659324783
Copy of Chen et al. 2021.pdf,fig,0.05048192489611428
Copy of Chen et al. 2021.pdf,vial,0.05018407515797877
Copy of Chen et al. 2021.pdf,bioproduction,0.05013285650867265
Copy of Chen et al. 2021.pdf,removal rate,0.05013285650867265
Copy of Chen et al. 2021.pdf,analysis,0.050028950032429936
Copy of Chen et al. 2021.pdf,methane,0.050028950032429936
Copy of Chen et al. 2021.pdf,rate,0.04922108971883379
Copy of Chen et al. 2021.pdf,bioresource technology,0.046054178984397204
Copy of Chen et al. 2021.pdf,metabolism,0.046000344543120464
Copy of Chen et al. 2021.pdf,ml,0.0454808636658454
Copy of Chen et al. 2021.pdf,bioresource,0.04453538027619907
Copy of Chen et al. 2021.pdf,glass fiber,0.043866249445088566
Copy of Chen et al. 2021.pdf,gas chamber,0.043415347422278386
Copy of Chen et al. 2023.pdf,springer nature,0.25860920953833055
Copy of Chen et al. 2023.pdf,gas chamber,0.21335259786912272
Copy of Chen et al. 2023.pdf,chamber,0.20809279816031623
Copy of Chen et al. 2023.pdf,aqueous,0.15830737937036
Copy of Chen et al. 2023.pdf,cell,0.14804762720857512
Copy of Chen et al. 2023.pdf,ml,0.1462928730516862
Copy of Chen et al. 2023.pdf,cyclopropanol,0.14599276053564117
Copy of Chen et al. 2023.pdf,phase,0.14534231644547793
Copy of Chen et al. 2023.pdf,springer,0.14450038228741238
Copy of Chen et al. 2023.pdf,filter,0.1345176107150266
Copy of Chen et al. 2023.pdf,gas phase,0.12981205108369517
Copy of Chen et al. 2023.pdf,membrane,0.12387851498329908
Copy of Chen et al. 2023.pdf,bioreactor,0.12190515937251852
Copy of Chen et al. 2023.pdf,exhausted,0.1195499207237088
Copy of Chen et al. 2023.pdf,rate,0.11663937626970794
Copy of Chen et al. 2023.pdf,nature,0.1098149487905094
Copy of Chen et al. 2023.pdf,aqueous phase,0.10743873699699436
Copy of Chen et al. 2023.pdf,mbr,0.10580146574580976
